City,Mapped_Sales_Type,Mapped_Item_Code,Transaction_Date,Quantity_Sold,Median_Price,Average_Tax_Percent,Effective_Price,Percent_Quantity_With_Discount,Avg_Discount_Percent_On_Discounted_Items,Year,Month,Day,Car_sales,F_and_B_Inflation,F_and_B_Inflation_Adjusted_Effective_Price,F_and_B_Inflation_Adjusted_Median_Price,First_Week_Of_The_Month_Dummy,Last_Week_Of_The_Month_Dummy,Day_Of_The_Week_Seasonality,Month_Of_The_Year_Seasonality,Two_Wheeler_sales
Hyderabad,Take Away,9978,7/31/2018,167,187,0.05,163.7,,,2018,7,Tue,7559.28,143.7,0.832985386,0.793319415,0,1,0.86,0.91,37307.52
Hyderabad,Take Away,4064,7/31/2018,368,602,0.05,584.3291051,0.027237354,1.05,2018,7,Tue,7559.28,143.7,3.760119033,3.681280445,0,1,0.83,0.91,37307.52
Hyderabad,Main Hall,965,7/31/2018,694,263,0.05,244.835163,,,2018,7,Tue,7559.28,143.7,1.397600299,1.322199026,0,1,1.08,1.08,37307.52
Hyderabad,Express,9978,7/31/2018,140,263,0.05,243.5,,,2018,7,Tue,7559.28,143.7,1.388308977,1.322199026,0,1,0.78,0.08,37307.52
Hyderabad,Express,1045,7/31/2018,139,392,0.05,378.96,,,2018,7,Tue,7559.28,143.7,2.330967293,2.219902575,0,1,0.73,0.08,37307.52
Hyderabad,Delivery,4056,7/31/2018,617,322,0.05,305.354585,0.003952569,0.10502008,2018,7,Tue,7559.28,143.7,1.818751461,1.732776618,0,1,0.82,1.06,37307.52
Hyderabad,Take Away,4065,7/31/2018,217,652,0.05,651.9581132,,,2018,7,Tue,7559.28,143.7,4.230745395,4.029227557,0,1,0.86,0.91,37307.52
Hyderabad,Express,4058,7/31/2018,115,312,0.05,294.96,,,2018,7,Tue,7559.28,143.7,1.746416145,1.663187196,0,1,0.7,0.08,37307.52
Hyderabad,Express,4057,7/31/2018,113,312,0.05,294.96,,,2018,7,Tue,7559.28,143.7,1.746416145,1.663187196,0,1,0.72,0.08,37307.52
Hyderabad,Express,4056,7/31/2018,120,392,0.05,378.9555556,,,2018,7,Tue,7559.28,143.7,2.330936364,2.219902575,0,1,0.84,0.08,37307.52
Hyderabad,Delivery,4061,7/31/2018,144,942,0.05,942.6315152,0.151515152,0.105005754,2018,7,Tue,7559.28,143.7,6.25352481,6.047320807,0,1,0.75,1.06,37307.52
Hyderabad,Express,4055,7/31/2018,122,362,0.05,347.4581818,,,2018,7,Tue,7559.28,143.7,2.11174796,2.011134308,0,1,0.71,0.08,37307.52
Hyderabad,Take Away,4061,7/31/2018,233,802,0.05,809.4560656,,,2018,7,Tue,7559.28,143.7,5.326764548,5.073068894,0,1,0.82,0.91,37307.52
Hyderabad,Dine-in,9978,7/31/2018,118,263,0.05,243.5,,,2018,7,Tue,7559.28,143.7,1.388308977,1.322199026,0,1,0.85,1.09,37307.52
Hyderabad,Dine-in,979,7/31/2018,164,1222,0.05,1250.46,,,2018,7,Tue,7559.28,143.7,8.395685456,7.995824635,0,1,0.86,1.09,37307.52
Hyderabad,Take Away,4066,7/31/2018,136,662,0.05,662.46,,,2018,7,Tue,7559.28,143.7,4.303827418,4.09881698,0,1,0.77,0.91,37307.52
Hyderabad,Dine-in,978,7/31/2018,188,1172,0.05,1197.95974,,,2018,7,Tue,7559.28,143.7,8.030339181,7.647877523,0,1,0.83,1.09,37307.52
Hyderabad,Delivery,4062,7/31/2018,123,1022,0.05,1040.46,,,2018,7,Tue,7559.28,143.7,6.934307585,6.604036186,0,1,0.76,1.06,37307.52
Hyderabad,Dine-in,971,7/31/2018,275,312,0.05,294.9590244,,,2018,7,Tue,7559.28,143.7,1.746409356,1.663187196,0,1,0.83,1.09,37307.52
Hyderabad,Dine-in,970,7/31/2018,562,312,0.05,294.9583149,,,2018,7,Tue,7559.28,143.7,1.746404418,1.663187196,0,1,0.8,1.09,37307.52
Hyderabad,Dine-in,966,7/31/2018,1250,392,0.05,378.8400527,0.003511853,0.105007837,2018,7,Tue,7559.28,143.7,2.330132586,2.219902575,0,1,0.92,1.09,37307.52
Hyderabad,Take Away,4068,7/31/2018,180,542,0.05,536.4576812,,,2018,7,Tue,7559.28,143.7,3.426984559,3.263743911,0,1,0.66,0.91,37307.52
Hyderabad,Delivery,4063,7/31/2018,116,852,0.05,861.954,,,2018,7,Tue,7559.28,143.7,5.692094642,5.421016006,0,1,0.68,1.06,37307.52
Hyderabad,Delivery,4057,7/31/2018,242,272,0.05,252.9583206,,,2018,7,Tue,7559.28,143.7,1.454128884,1.384829506,0,1,0.74,1.06,37307.52
Hyderabad,Dine-in,965,7/31/2018,1934,362,0.05,347.2583269,0.001645639,0.42,2018,7,Tue,7559.28,143.7,2.110357181,2.011134308,0,1,0.89,1.09,37307.52
Hyderabad,Dine-in,964,7/31/2018,129,1107,0.05,1129.7,,,2018,7,Tue,7559.28,143.7,7.555323591,7.195546277,0,1,0.84,1.09,37307.52
Hyderabad,Delivery,4068,7/31/2018,148,622,0.05,618.8986486,0.027027027,0.105009107,2018,7,Tue,7559.28,143.7,4.00068649,3.82045929,0,1,0.64,1.06,37307.52
Hyderabad,Delivery,4066,7/31/2018,126,752,0.05,756.9586667,,,2018,7,Tue,7559.28,143.7,4.961438181,4.725121781,0,1,0.72,1.06,37307.52
Hyderabad,Delivery,4065,7/31/2018,140,752,0.05,756.9586207,,,2018,7,Tue,7559.28,143.7,4.961437861,4.725121781,0,1,0.77,1.06,37307.52
Hyderabad,Main Hall,966,7/31/2018,121,292,0.05,273.958,,,2018,7,Tue,7559.28,143.7,1.60026444,1.524008351,0,1,1.1,1.08,37307.52
Hyderabad,Delivery,4060,7/31/2018,273,442,0.05,431.457963,,,2018,7,Tue,7559.28,143.7,2.696297585,2.567849687,0,1,0.77,1.06,37307.52
Hyderabad,Take Away,4063,7/31/2018,125,732,0.05,735.9585714,,,2018,7,Tue,7559.28,143.7,4.815299732,4.585942937,0,1,0.68,0.91,37307.52
Hyderabad,Main Hall,10000,7/31/2018,490,282.52,0.05,263.0493404,,,2018,7,Tue,7559.28,143.7,1.524351708,1.458037578,0,1,1.1,1.08,37307.52
Hyderabad,Take Away,4062,7/31/2018,158,872,0.05,882.9565957,,,2018,7,Tue,7559.28,143.7,5.838250492,5.56019485,0,1,0.82,0.91,37307.52
Hyderabad,Take Away,4060,7/31/2018,267,378,0.05,364.0519231,0.006410256,0.105016393,2018,7,Tue,7559.28,143.7,2.227222847,2.122477383,0,1,0.82,0.91,37307.52
Hyderabad,Take Away,4059,7/31/2018,395,359,0.05,344.1942958,0.003521127,0.105,2018,7,Tue,7559.28,143.7,2.089034765,1.990257481,0,1,0.81,0.91,37307.52
Hyderabad,Bakery,4055,7/31/2018,109,263,0.05,243.5,,,2018,7,Tue,7559.28,143.7,1.388308977,1.322199026,0,1,-0.23,,37307.52
